Time,X,Y,Z
5.52024,1.10520,0.88721,-0.01072
5.52759,1.06352,0.85953,-0.03673
5.53541,0.98485,0.95657,0.04845
5.54343,0.97389,0.92267,-0.04323
5.55156,0.89996,1.03194,0.04136
5.55967,0.94378,0.94761,0.00761
5.56789,0.91415,0.97407,0.05315
5.57625,0.99308,0.94678,0.01034
5.58469,1.00259,0.82061,0.04191
5.59261,1.02457,0.70987,0.07371
5.59989,0.85422,0.79424,0.07320
5.60707,0.75432,0.91772,0.03852
5.61455,1.00651,0.82942,0.12795
5.62253,0.80603,0.98129,0.07072
5.63108,0.97088,0.93725,0.03224
5.64036,0.93682,0.96780,0.00992
5.64716,0.88991,1.14304,0.13344
5.65321,0.87368,1.13022,-0.00022
5.66138,0.87252,1.13278,0.02765
5.66947,0.84629,1.19268,0.06244
5.67910,0.83438,1.12046,0.07006
5.68873,0.91114,1.06202,-0.00735
5.69689,0.89829,1.02313,-0.02658
5.70318,0.76817,1.09045,-0.00671
5.70944,0.79052,1.03984,0.01964
5.71777,0.83277,1.04395,0.07839
5.72612,0.88951,0.99427,-0.01703
5.73451,0.87469,0.97787,0.07847
5.74260,0.82083,0.97808,0.11170
5.75032,0.84129,0.79532,0.05231
